pendapatan_per_kapita,skor_aset,jumlah_tanggungan,kualitas_hunian,akses_sanitasi,radiasi_satelit_ntl
258319.18,93.67,5,1,1,4.57
1214723.21,87.23,5,3,1,13.73
658688.09,60.43,4,3,0,17.25
161693.59,85.97,6,2,1,0.77
490005.89,23.01,6,2,1,20.94
368272.6,13.66,3,4,0,18.0
1059850.56,55.32,3,4,1,26.32
794699.58,92.82,5,2,1,5.1
605883.76,70.33,2,2,1,20.76
706859.9,35.94,5,4,0,29.91
423330.76,66.85,6,5,1,40.21
811745.17,13.39,4,2,1,38.35
1546927.76,50.0,4,4,0,20.3
342261.11,30.17,5,3,1,19.54
630716.1,14.18,2,2,1,1.97
290685.43,31.24,4,3,0,4.22
243062.99,71.41,5,3,1,43.63
473281.02,56.85,4,2,1,40.31
1216567.59,11.99,2,1,1,1.15
468165.23,44.83,5,4,0,44.15
1085658.92,73.93,3,4,1,30.73
399657.51,91.14,5,1,1,40.12
2371357.81,84.32,2,3,0,25.18
338326.94,10.13,5,2,1,7.62
3380347.97,28.59,3,3,0,17.91
577210.62,27.66,5,5,0,22.56
395178.63,45.11,3,2,0,37.72
130355.81,64.89,8,2,1,40.65
662111.39,23.01,4,4,1,37.1
577988.96,87.83,3,4,0,23.88
1014379.86,76.05,3,3,1,33.22
658452.86,45.64,4,4,1,14.85
632661.22,59.64,3,5,1,49.39
1192930.89,56.05,1,3,1,8.49
798980.38,59.49,1,1,1,36.21
303353.21,83.11,5,3,1,7.83
828643.18,27.01,4,4,1,14.12
751513.13,68.12,3,2,0,37.47
938986.83,19.1,1,1,1,36.48
549967.35,49.03,4,2,1,6.31
249847.33,64.05,10,1,1,33.96
291673.75,11.06,4,4,1,10.27
362389.76,19.19,6,1,1,48.65
256653.88,17.76,8,4,1,30.19
199741.62,41.85,5,2,0,0.27
491508.5,62.87,5,5,1,10.5
1387929.37,94.66,2,3,1,11.56
1265804.51,31.6,3,1,1,12.43
932838.04,21.56,4,4,1,27.9
173504.79,45.25,5,3,1,10.36
376507.29,22.41,3,3,1,20.7
900232.98,12.09,3,5,0,8.75
2698675.27,57.94,1,3,0,33.38
900239.68,84.76,3,4,1,28.48
6669307.61,83.17,3,2,0,31.47
930913.85,18.57,3,4,1,48.37
783793.97,22.54,5,1,1,20.03
1171492.07,51.75,3,4,1,10.85
586188.59,41.26,5,2,1,49.94
410259.06,69.76,4,2,1,3.0
1563182.48,52.07,2,5,1,40.54
311766.72,11.71,4,2,1,8.19
245732.47,34.19,7,2,1,33.27
296364.07,86.63,5,3,1,23.74
694197.79,53.48,3,5,0,41.97
1135842.23,77.83,7,3,0,36.58
161675.5,44.2,4,1,0,8.7
997636.07,67.54,3,4,1,33.3
125569.04,24.37,6,3,0,10.93
298762.13,72.61,5,5,1,8.55
1270292.91,76.86,3,3,1,4.3
412144.83,17.66,5,3,0,5.77
346189.24,25.58,3,3,0,35.22
645429.07,49.35,2,3,1,49.61
745242.01,64.18,4,4,1,33.82
426414.75,64.19,3,1,1,35.45
564435.16,66.8,4,1,1,39.16
339620.34,70.73,6,2,0,44.46
335288.1,52.99,4,3,1,13.46
2392272.16,58.86,3,2,1,30.27
2900377.37,10.71,1,2,1,10.91
196084.73,24.16,3,5,0,26.33
739153.06,52.38,3,1,1,10.51
222163.45,73.38,6,5,1,3.29
1653347.9,78.76,2,5,0,4.51
616208.33,71.96,2,3,1,48.82
616951.59,51.34,3,1,0,0.4
894821.99,33.91,3,2,0,34.54
833308.13,47.8,4,5,1,44.38
482470.46,10.79,2,5,1,19.75
540736.28,60.83,3,5,0,35.43
745556.08,16.34,2,5,1,17.51
1339761.89,22.36,1,1,1,26.5
1143763.42,63.21,5,3,1,46.79
842708.79,11.13,3,4,1,2.21
232623.2,58.75,4,2,1,13.43
687817.8,64.26,5,3,1,5.39
1416721.29,77.0,5,2,0,24.85
526269.65,15.78,7,1,1,38.55
199203.79,10.25,4,1,0,48.83
296564.98,75.18,5,1,0,7.86
2120154.47,34.65,2,3,1,2.29
259356.91,85.41,5,3,0,7.0
431288.36,25.72,6,2,0,48.44
3155887.87,59.77,1,4,0,16.07
568464.72,19.3,2,4,0,13.43
318865.71,44.23,6,1,1,36.78
47262.86,84.98,6,1,1,6.12
178725.78,61.71,6,2,1,17.52
425987.27,68.62,4,4,1,7.33
234458.93,29.21,4,3,0,48.72
880008.91,88.43,6,3,1,14.33
168127.39,63.0,5,2,0,13.53
507555.34,19.0,3,2,1,31.76
1072279.34,11.32,2,5,0,0.93
1176988.5,11.35,4,2,0,32.71
209439.11,14.35,4,3,1,22.75
664067.3,87.49,6,1,0,9.29
332495.09,40.46,6,1,1,24.37
220060.3,35.35,5,3,1,49.95
872091.65,45.41,3,3,1,41.96
1117146.96,44.81,2,2,1,48.71
276628.84,30.27,5,2,0,46.31
689187.72,17.81,3,4,1,41.04
524499.39,19.23,3,1,1,16.8
530627.76,60.93,4,3,0,36.52
1474944.95,43.73,2,5,0,19.64
1283775.28,86.71,4,3,1,21.53
235865.34,49.42,4,2,1,43.68
648180.67,52.8,11,4,0,10.34
204870.84,88.9,3,3,1,14.9
603388.56,52.64,3,5,0,46.53
705523.93,52.67,4,4,1,35.01
234687.48,40.87,10,3,1,3.34
341152.86,70.39,4,3,1,6.17
583333.51,43.34,3,2,1,29.02
491681.86,60.01,3,2,0,39.96
464059.87,48.03,3,3,1,39.66
1100361.11,54.94,3,3,0,21.3
818801.53,80.3,3,3,1,13.0
261663.95,45.17,5,4,1,39.41
1700805.88,29.56,2,1,1,47.21
2384213.15,58.48,1,1,1,22.26
1076370.17,89.69,3,1,1,6.95
361615.14,68.92,8,4,1,30.53
401912.91,36.21,3,1,0,3.67
472257.23,91.85,3,2,1,30.61
776135.04,39.13,4,2,1,8.73
714921.34,93.58,4,3,1,25.85
652682.95,26.32,3,3,1,31.31
425473.74,94.97,5,2,1,22.39
711292.82,16.45,6,3,1,41.38
278067.52,70.63,5,3,0,18.8
917718.65,72.94,3,4,1,7.84
292706.28,67.76,6,1,0,23.25
579997.45,76.1,3,4,0,48.18
1277804.36,50.11,3,1,1,44.02
650705.15,14.6,5,4,1,15.62
646073.06,40.41,5,3,1,12.21
1446525.45,64.6,3,3,1,24.22
286843.53,64.93,7,1,1,32.79
746295.88,26.59,4,4,0,46.34
205746.15,31.51,8,1,1,30.7
1204232.06,51.37,2,4,1,41.82
916912.19,71.93,2,4,1,34.83
700524.97,82.49,3,4,1,5.17
2833701.07,17.35,1,4,0,44.6
242711.72,88.68,5,1,1,10.06
1159701.14,88.86,6,5,1,18.4
361413.24,10.67,3,4,1,42.03
478465.63,53.04,2,3,1,48.96
1324114.16,59.91,3,4,0,15.6
318829.74,57.07,10,4,1,19.22
720843.64,62.34,4,4,0,24.33
963564.8,52.78,3,2,0,24.95
281177.6,34.97,7,2,1,37.54
192892.42,18.13,6,4,1,40.87
1037511.44,27.71,2,4,1,49.55
660370.15,72.92,2,3,0,40.23
711858.14,30.49,5,2,1,15.06
1815307.75,80.53,1,5,0,17.97
604135.93,44.3,2,3,0,30.94
817512.37,45.23,2,4,1,34.36
846737.99,83.82,3,3,1,4.59
201966.1,28.21,7,2,1,17.25
403549.92,26.12,3,3,1,10.21
254992.08,93.76,9,4,1,25.44
765563.66,55.95,3,5,1,8.52
731378.88,26.19,2,1,0,29.08
373652.93,24.09,4,4,0,23.42
759653.49,83.24,3,3,1,20.26
277211.8,60.99,3,1,1,32.48
426076.66,19.78,2,4,1,20.87
257685.61,85.39,5,2,0,20.02
436104.58,47.73,4,4,1,32.59
1194690.08,94.1,2,2,1,2.96
1601740.55,33.95,3,4,0,21.68
1105693.71,54.95,3,2,1,9.85
600443.96,24.71,3,2,1,2.02
392053.02,47.38,5,1,1,1.83
120723.47,25.01,9,3,1,8.46
326809.48,36.11,6,2,0,21.75
555815.97,32.94,3,1,1,28.38
481274.57,34.06,5,2,1,39.82
402338.54,92.44,3,3,0,30.42
676923.5,13.27,4,4,0,26.05
1243386.16,52.23,4,5,1,1.91
265357.64,63.49,7,3,0,14.97
315396.38,66.16,8,3,0,34.64
749972.66,74.14,4,5,1,13.6
389637.99,74.68,4,5,0,29.76
756035.19,91.22,3,2,0,30.23
665932.21,74.23,3,3,1,15.33
1051216.35,80.01,2,4,1,28.62
249385.76,55.25,5,4,1,5.79
503033.35,65.9,4,3,1,36.38
1336616.25,50.64,2,3,1,1.22
947183.62,33.5,5,3,0,1.86
1762802.3,36.64,2,4,1,43.53
1202784.69,40.65,6,2,1,29.06
250234.45,38.95,5,3,0,8.23
836597.22,55.32,4,3,1,30.12
368887.03,31.05,6,4,1,18.56
7377030.62,53.91,1,2,1,13.57
610402.5,87.88,2,3,1,40.59
599001.7,44.51,2,2,1,23.92
276765.68,28.92,5,4,1,14.74
184803.85,39.48,3,4,1,47.19
206620.04,84.54,7,4,0,8.33
628677.21,90.04,2,1,1,7.19
433999.37,85.37,5,3,0,4.96
486803.42,34.42,5,1,1,6.31
3055810.21,42.97,2,3,1,12.71
1168979.86,92.87,3,2,1,34.96
350656.87,37.53,4,4,1,33.63
128505.45,21.72,9,1,1,38.2
2663499.73,33.98,1,3,1,28.82
448970.69,91.94,2,1,1,24.68
1487460.55,45.35,4,3,1,21.65
2011752.7,89.38,2,3,1,43.74
299256.61,18.85,5,3,1,17.24
141872.12,75.11,5,2,1,44.59
4467428.07,17.93,1,1,1,13.85
925536.56,26.79,2,3,1,7.95
595275.52,62.37,7,4,0,12.83
126954.49,46.93,6,4,0,25.0
461281.01,66.67,3,4,1,46.3
497251.82,92.74,4,5,1,8.95
254930.65,14.48,8,3,1,29.04
756769.15,26.29,2,3,1,10.96
576235.69,64.42,5,2,0,33.91
261223.95,86.2,4,5,1,23.31
606803.33,77.8,3,3,1,36.7
710386.94,49.57,3,4,1,42.82
674933.16,73.37,4,1,1,16.8
434112.41,27.69,7,3,1,46.92
201950.29,11.17,5,4,1,23.47
394898.61,58.45,2,2,1,46.84
1066946.87,79.13,4,1,1,11.61
605066.74,46.84,4,4,0,44.86
632705.85,58.39,2,2,0,16.75
1676265.39,45.89,3,3,0,37.56
1062630.08,53.69,2,3,1,48.41
1341053.45,85.17,3,1,1,45.62
412946.44,50.64,5,1,0,23.24
6827360.87,10.64,1,5,0,17.31
1894740.06,77.99,3,2,1,30.67
1707637.7,62.51,1,2,0,35.32
591953.34,72.08,6,1,0,27.06
1460191.85,86.59,2,2,0,42.44
2253582.55,34.33,2,3,1,3.01
555652.7,52.76,2,2,0,30.02
498755.57,61.21,6,3,0,26.31
1247238.42,39.36,3,4,1,2.06
230071.18,81.92,3,3,0,0.73
324951.95,69.29,3,3,1,30.35
291651.1,72.34,2,4,0,5.99
562273.47,78.68,3,4,1,38.45
1524806.65,31.94,2,3,0,47.47
542633.63,73.38,9,1,1,8.95
188445.02,75.77,11,3,1,39.95
1317010.52,81.6,4,3,1,29.61
216564.73,51.53,4,1,1,22.45
118920.57,52.86,6,1,1,32.55
1917765.72,18.35,1,5,1,40.14
832199.09,82.43,3,4,1,48.54
486060.7,55.35,4,2,1,33.06
286756.17,60.53,2,3,0,37.37
1879521.87,20.32,1,2,0,30.42
453237.3,61.15,2,1,1,28.3
987756.25,13.57,3,2,1,3.33
2470568.76,88.47,1,3,1,7.84
161161.46,83.4,7,5,1,19.02
242782.29,26.52,6,4,1,32.51
262544.93,60.47,4,2,0,3.88
477394.36,61.23,4,2,1,27.26
1758441.06,78.29,2,3,0,0.76
365840.27,74.34,3,2,1,38.33
383278.73,94.43,7,4,0,33.38
480812.73,39.82,3,2,0,26.08
205359.39,20.59,6,2,1,28.6
309905.38,58.75,6,3,1,46.64
355131.11,74.94,3,1,1,45.34
237055.83,34.29,6,3,1,39.66
161057.03,30.08,6,5,1,16.88
1289025.63,78.21,5,3,1,5.45
405031.54,74.07,5,4,1,16.14
651490.12,27.29,2,3,1,37.62
2254385.41,83.89,1,2,1,30.59
926765.63,21.45,2,2,1,35.31
868281.33,19.29,2,3,1,5.36
573241.35,39.84,5,3,1,8.01
1561812.32,85.36,2,3,0,33.25
288445.49,69.11,5,1,1,18.65
350885.31,43.55,4,3,0,18.52
840558.48,23.37,2,4,0,19.69
62280.63,70.65,8,2,1,39.82
266271.85,60.93,3,4,1,34.98
562801.92,93.95,8,4,0,5.39
1329995.7,75.07,4,2,1,17.28
341512.81,18.68,5,3,1,33.72
700563.17,71.9,4,4,0,48.81
597467.84,31.88,4,3,0,45.62
4192116.08,91.76,3,4,1,12.49
970387.34,11.64,4,2,1,3.4
459068.67,30.26,4,1,1,28.71
223515.9,52.41,5,1,0,20.37
252084.57,16.72,3,5,1,9.25
1120102.77,39.25,2,2,1,32.62
314863.72,52.26,4,4,1,8.1
140770.8,47.99,6,2,1,17.64
224200.67,49.15,6,1,1,39.75
518100.24,84.72,2,2,0,34.25
2728159.6,52.95,2,3,0,30.4
560858.76,89.99,6,1,1,46.55
657765.74,22.56,3,5,1,6.36
481846.75,33.82,10,4,1,34.58
1038485.34,65.8,2,1,1,5.95
197100.69,34.07,6,4,1,6.91
618116.92,39.52,8,3,0,25.37
547932.9,86.59,5,5,1,1.3
212822.63,55.78,5,1,1,25.1
589591.09,38.45,3,3,0,0.57
195412.81,76.02,6,2,0,30.16
172971.52,16.01,5,4,0,15.67
432036.34,57.91,8,1,0,4.25
1558688.97,18.47,4,3,1,39.06
142785.67,25.03,6,5,1,19.56
463249.97,15.31,6,3,1,22.26
447307.77,86.64,3,3,1,18.79
296050.95,14.1,5,3,0,4.27
463217.21,53.9,3,3,1,23.05
236137.05,29.12,5,3,1,33.31
2041331.76,42.61,1,3,0,45.18
301081.29,51.96,4,5,0,38.21
388681.15,48.26,6,1,0,4.06
480971.25,73.59,4,2,1,8.37
572643.64,87.51,3,2,0,2.34
383405.91,35.52,3,3,1,6.06
233789.81,12.09,6,1,0,24.08
1559830.24,85.99,2,5,0,11.07
1338959.17,93.2,2,3,0,32.43
275728.65,46.83,4,4,0,1.72
420904.59,48.74,5,2,0,42.88
1556087.31,22.25,2,1,1,33.91
91027.35,50.42,8,2,1,48.46
1373494.71,35.78,2,3,1,47.65
444103.74,94.52,3,1,1,34.68
930750.86,25.71,3,4,1,7.99
209040.86,42.18,6,4,1,11.18
167841.67,62.4,4,4,1,13.95
248913.88,39.34,3,4,1,21.39
408159.4,50.33,5,3,1,28.59
772371.72,92.75,3,3,0,34.16
384153.59,53.19,3,3,0,3.87
484753.6,87.38,6,2,0,30.57
243890.75,13.66,3,3,1,3.05
381137.01,20.18,5,3,0,41.37
958754.46,90.28,1,4,1,2.12
148995.85,20.94,9,2,1,19.56
1019978.41,72.61,2,1,0,21.06
197203.71,47.91,6,3,1,28.56
524738.01,44.57,3,4,1,4.86
604414.93,66.03,6,5,0,46.66
701318.7,71.85,2,1,0,19.22
654729.44,89.22,5,4,1,19.87
251671.9,31.84,4,3,1,12.23
681184.28,69.34,4,1,1,39.06
1569596.1,39.09,3,4,1,0.49
150001.57,71.0,3,1,1,5.4
409728.72,22.08,3,4,1,23.59
467186.5,48.89,6,4,0,48.42
351067.87,25.61,5,3,0,1.88
825773.03,38.6,3,1,1,3.19
276004.09,70.83,5,5,1,35.77
298356.31,29.83,7,4,1,36.8
257991.91,68.22,7,5,1,44.86
1331819.95,52.15,3,2,0,28.87
1154878.07,17.82,2,3,1,20.24
809319.71,42.87,3,1,0,22.61
516206.18,83.88,3,1,0,21.63
295965.55,94.09,5,1,0,48.68
509840.29,41.36,3,3,1,19.07
628051.17,14.66,4,2,1,4.89
385044.79,21.07,4,3,0,14.55
471854.99,76.99,5,3,1,48.01
2295883.26,65.74,3,5,1,21.47
1114662.84,34.23,3,4,1,15.87
543493.81,43.26,3,4,1,15.61
2038207.23,78.95,2,4,1,0.55
310430.98,45.11,5,1,1,31.69
291844.99,74.24,2,1,1,36.24
216578.92,35.09,5,3,1,17.71
80666.88,71.61,8,3,1,43.65
321146.92,49.64,5,4,1,37.17
668264.1,56.36,3,3,0,30.08
1807129.26,60.89,3,5,1,35.22
344636.76,48.3,7,4,1,38.5
869255.61,49.62,2,1,1,26.4
1087107.5,32.59,3,3,1,19.95
131534.5,93.79,4,5,0,6.37
761279.95,86.99,3,3,0,20.31
449822.78,54.83,7,2,1,27.55
204138.49,12.94,4,2,1,47.4
984567.82,24.32,4,3,0,7.83
485852.29,82.58,5,4,0,37.87
1545452.42,89.12,1,1,0,12.11
724599.78,23.71,4,4,1,47.85
1548779.57,72.43,5,5,1,29.78
245707.03,62.96,9,4,0,21.7
575294.86,35.79,4,5,0,17.41
752560.21,47.07,2,1,1,10.18
238149.87,67.57,5,3,0,35.75
1631571.65,18.61,2,1,0,31.83
296574.98,26.07,4,4,0,44.52
1034876.4,12.83,2,5,1,29.91
212669.67,86.69,7,2,1,8.57
660725.36,58.78,4,3,1,34.17
605556.35,54.49,4,2,0,43.95
615853.57,70.03,6,2,1,49.52
208580.43,94.01,7,3,1,34.28
843173.36,24.64,2,4,0,14.55
275528.79,21.31,4,1,1,28.31
506263.09,35.06,3,2,1,25.8
621621.05,86.84,4,2,1,25.65
780662.98,44.97,4,1,1,4.02
285046.17,77.45,4,3,0,9.81
1670471.32,27.25,2,2,1,26.25
2236081.44,51.96,2,3,0,39.93
1270490.7,20.83,2,3,0,9.17
1222782.52,45.1,5,3,1,8.3
623172.91,32.29,2,5,1,38.02
313199.26,56.7,3,4,0,34.56
340994.17,76.33,2,2,1,24.31
1216309.98,89.76,4,1,1,2.61
1468089.15,34.13,2,4,1,23.69
639241.06,73.17,3,2,1,41.76
781811.46,85.28,3,2,0,0.63
201847.69,20.61,5,4,1,5.22
2150383.65,59.8,4,1,1,40.49
1071302.26,62.01,2,3,1,26.31
423453.49,33.15,5,4,1,33.15
1021566.39,11.91,3,4,0,37.28
661530.37,31.82,4,4,1,15.08
453564.38,59.7,5,3,0,14.96
411310.23,26.7,3,4,1,13.27
657754.25,34.42,4,1,1,8.45
1226624.67,70.17,5,2,1,15.31
1481609.77,43.86,3,1,0,47.65
1719079.77,15.56,3,2,1,4.39
364753.2,43.93,4,4,1,12.11
121663.28,94.98,9,1,1,15.97
306437.28,32.19,6,3,1,7.78
683391.14,32.55,3,3,1,3.96
955720.28,24.44,4,1,1,8.18
239404.28,33.09,3,3,0,26.44
4964038.55,58.85,1,3,1,29.88
450854.93,91.99,4,4,0,10.84
511579.91,61.65,3,4,1,25.24
216057.42,44.84,5,2,1,0.41
367301.68,43.12,2,5,0,30.14
812286.17,12.06,4,1,1,0.17
517982.34,10.22,4,3,1,32.17
304800.02,77.76,3,5,1,24.22
303865.5,51.66,3,2,0,5.55
324192.02,12.82,5,2,1,4.51
1349329.76,34.31,4,3,1,0.44
339356.78,40.32,5,4,1,27.63
268203.67,76.58,3,2,1,40.35
570313.72,46.92,3,4,1,42.84
561155.63,77.09,3,2,0,28.5
56159.88,63.87,7,4,1,44.37
1919207.85,12.82,1,2,0,43.11
575403.6,92.34,3,3,1,34.94
602164.48,25.42,5,2,0,18.22
3006317.53,33.43,2,2,1,41.38
974465.76,78.79,4,2,1,19.64
337468.98,26.14,5,3,0,20.22
340262.33,44.09,3,4,1,33.94
3095325.39,83.52,3,4,1,46.4
513618.83,64.17,4,3,1,25.05
333233.29,35.68,6,2,0,8.94
390853.09,64.74,5,4,0,7.21
744329.11,79.07,3,4,1,15.18
909123.81,44.33,2,3,1,22.94
281071.65,58.59,5,3,0,14.95
178517.71,93.97,8,2,1,35.62
216019.39,91.99,9,1,1,27.18
286217.48,53.27,5,2,0,20.4
258552.65,18.17,5,3,0,10.75
704501.58,69.56,3,4,1,30.31
425371.98,32.83,4,4,1,33.74
1222124.67,66.91,4,1,1,39.23
134700.06,39.9,3,3,1,49.54
636121.36,71.09,6,2,0,11.64
837530.7,41.22,5,3,1,0.85
190489.73,90.0,3,2,1,25.07
269043.4,21.62,6,3,1,46.21
528883.36,15.81,3,4,1,12.51
213032.2,76.4,4,4,1,37.82
248667.53,44.11,5,2,0,16.04
509154.77,49.57,2,1,1,19.62
810536.88,89.37,7,2,1,47.39
869012.4,60.14,4,3,0,23.1
2126070.24,66.11,2,1,0,36.29
1528589.63,11.65,2,2,1,27.54
335694.45,66.99,3,5,0,38.22
482470.74,43.01,3,2,1,15.94
886478.76,49.12,3,3,1,43.86
136054.82,78.68,7,1,1,27.49
3041310.48,54.52,1,3,0,15.53
343302.36,93.88,5,2,1,2.01
316687.13,77.73,5,3,1,0.76
506265.5,71.93,6,3,1,17.73
517683.89,60.04,5,5,1,10.86
399163.32,45.05,4,2,1,2.73
993812.19,14.49,4,3,1,27.69
207300.37,11.57,5,2,1,49.44
717312.6,13.97,4,3,1,21.17
471701.33,91.5,6,1,1,27.65
548893.57,37.47,3,3,0,11.07
401884.63,69.55,6,2,1,10.33
467981.79,60.52,2,3,0,16.49
1725916.95,58.59,2,3,0,41.77
443638.07,59.24,4,3,1,48.03
362243.47,35.7,4,2,1,37.01
930159.33,85.36,4,2,1,1.13
324843.7,88.13,4,3,1,21.98
425821.72,64.78,2,1,0,21.09
155839.92,83.44,5,2,1,46.77
356526.71,15.1,8,4,1,37.3
306548.14,18.53,3,4,1,35.75
2841178.04,57.52,2,4,1,28.28
113709.75,81.95,5,3,1,32.33
914483.18,36.81,6,4,1,34.96
1125190.94,56.58,2,1,0,27.67
467744.63,10.85,4,3,1,42.26
285960.98,93.86,5,1,1,1.94
1259637.44,75.19,2,4,1,47.07
242311.08,40.72,8,3,1,38.7
1281278.34,93.56,3,4,1,26.5
424683.17,17.86,5,4,1,43.03
1084938.52,49.45,2,3,1,41.42
531373.47,15.0,3,3,1,21.03
383231.57,38.47,5,1,0,42.01
476986.35,28.65,5,3,1,9.5
177656.04,36.91,4,3,1,23.51
