regency_city,year,total_population,number_of_poor_people,poverty_percentage,school_participation_rate,sanitation_access_percent,drinking_water_access_percent,proper_housing_percent,unemployment_rate,gdp_per_capita,population_density,hdi,radiasi_satelit_ntl,pendapatan_per_kapita_bulan,skor_aset,status_mustahik
Kabupaten Jember,2021,2552210.0,257.09,10.41,27.22,64.17,94.35,,5.44,31781.0,797.5,67.32,18.15707178781822,2648416.6666666665,54.559186978993026,1
Kabupaten Jember,2022,2567720.0,232.73,9.39,74.08,65.95,95.4,,4.06,34264.5,775.0,67.97,16.071901744948583,2855375.0,54.39080080536088,0
Kabupaten Jember,2023,2567720.0,,9.39,24.31,65.95,95.4,,4.01,36836.8,775.0,68.64,14.999814081702205,3069733.3333333335,54.163991114631784,0
Kabupaten Jember,2024,2567720.0,,9.39,26.11,65.95,95.4,,3.23,39464.3,775.0,70.93,17.42836889162202,3288691.6666666665,56.20086256536401,0
Kabupaten Jombang,2020,1318100.0,,10.0,23.57,88.98,99.37,,7.48,30303.4,1182.0,72.97,14.822481448652457,2525283.3333333335,62.723145283993446,1
Kabupaten Jombang,2021,1327035.0,127.3,10.0,23.61,90.95,99.44,,7.09,31448.7,1193.0,73.45,16.641990335076084,2620725.0,64.34591861618897,1
Kabupaten Jombang,2022,1335970.0,115.48,9.04,88.17,93.67,99.07,,5.47,34292.3,1204.0,74.05,14.267171697778053,2857691.6666666665,64.30584847589756,0
Kabupaten Jombang,2023,1335970.0,,9.04,20.56,93.67,99.07,,4.66,36990.7,1204.0,74.6,15.214316814066818,3082558.3333333335,64.96299237572315,0
Kabupaten Jombang,2024,1335970.0,,9.04,21.3,93.67,99.07,,3.75,39553.1,1204.0,75.67,17.211817413883725,3296091.6666666665,66.3129157294848,0
Kabupaten Kediri,2020,1635300.0,,11.64,18.99,83.59,98.89,,5.24,24884.6,1180.0,72.05,16.6790946000045,2073716.6666666667,61.595043661540544,1
Kabupaten Kediri,2021,1645660.0,184.49,11.64,21.8,86.92,96.35,,5.15,25867.0,1133.5,72.56,16.04712876141033,2155583.3333333335,62.50636712065092,1
Kabupaten Kediri,2022,1656020.0,169.46,10.65,85.24,88.68,92.17,,6.83,28034.8,1087.0,73.46,15.853639012161079,2336233.3333333335,63.30506415945896,1
Kabupaten Kediri,2023,1656020.0,,10.65,18.4,88.68,92.17,,5.79,30192.7,1087.0,73.96,15.81647646056135,2516058.3333333335,63.487912212566776,1
Kabupaten Kediri,2024,1656020.0,,10.65,18.16,88.68,92.17,,5.1,32338.7,1087.0,75.18,14.575235712169036,2694891.6666666665,63.403031867154944,1
Kabupaten Lamongan,2020,1344200.0,,13.86,28.67,92.23,92.18,,5.13,29220.6,754.0,72.58,14.79323083897284,2435050.0,63.52864500260285,1
Kabupaten Lamongan,2021,1357855.0,166.82,13.86,29.37,89.7,81.98,,4.9,30373.1,768.5,73.12,15.22384371853788,2531091.6666666665,63.184389408555944,1
Kabupaten Lamongan,2022,1371510.0,151.08,12.53,73.67,90.66,78.56,,6.05,33398.6,783.0,74.02,17.30497906144821,2783216.6666666665,64.79291341297609,1
Kabupaten Lamongan,2023,1371510.0,,12.53,25.75,90.66,78.56,,5.46,35725.7,783.0,74.53,16.617165174490786,2977141.6666666665,64.67946084976498,1
Kabupaten Lamongan,2024,1371510.0,,12.53,24.04,90.66,78.56,,4.34,37787.6,783.0,75.9,14.229451762408644,3148966.6666666665,64.12543927495784,1
Kabupaten Lumajang,2020,1119300.0,,10.05,11.96,84.53,95.89,,3.36,28707.0,625.0,65.46,15.776443429075862,2392250.0,58.824435428804236,1
Kabupaten Lumajang,2021,1128265.0,105.25,10.05,12.98,83.24,95.73,,3.51,29938.8,629.0,66.07,15.03813521406612,2494900.0,58.34067779110743,1
Kabupaten Lumajang,2022,1137230.0,95.04,9.06,53.0,77.99,97.35,,4.97,32383.7,633.0,66.95,14.891784328131449,2698641.6666666665,57.05013122836836,0
Kabupaten Lumajang,2023,1137230.0,,9.06,16.44,77.99,97.35,,3.67,35178.1,633.0,67.87,16.645023575367052,2931508.3333333335,58.227318573246336,0
Kabupaten Lumajang,2024,1137230.0,,9.06,16.35,77.99,97.35,,3.28,37578.6,633.0,70.31,17.313238979605842,3131550.0,59.511725682895005,0
Kabupaten Madiun,2020,744400.0,,11.91,19.1,91.92,97.83,,4.8,25811.1,717.0,71.73,16.40402692901988,2150925.0,63.83908935185533,1
Kabupaten Madiun,2021,751035.0,81.61,11.91,19.19,89.09,95.1,,4.99,26801.6,3692.5,71.88,16.34035195494303,2233466.6666666665,63.0207009022814,1
Kabupaten Madiun,2022,757670.0,74.07,10.79,73.09,89.4,94.79,,5.84,29109.8,6668.0,72.39,17.892110857185433,2425816.6666666665,64.03389731870098,1
Kabupaten Madiun,2023,757670.0,,10.79,20.94,89.4,94.79,,5.14,31587.9,6668.0,72.97,18.86492994746238,2632325.0,64.71489074498264,1
Kabupaten Madiun,2024,757670.0,,10.79,20.14,89.4,94.79,,4.34,33712.4,6668.0,74.81,19.800796948153604,2809366.6666666665,65.88282936068627,1
Kabupaten Magetan,2020,670800.0,,10.66,28.47,88.65,99.46,,3.74,28023.8,974.0,73.92,15.284708049236489,2335316.6666666665,63.21748063810915,1
Kabupaten Magetan,2021,674570.0,67.75,10.66,28.77,88.4,99.9,,3.86,29080.7,967.0,74.15,15.720822429758782,2423391.6666666665,63.43576419835021,1
Kabupaten Magetan,2022,678340.0,62.65,9.84,85.87,91.01,98.71,,4.33,31275.4,960.0,74.85,14.789185785100795,2606283.3333333335,64.0687780546619,1
Kabupaten Magetan,2023,678340.0,,9.84,23.17,91.01,98.71,,4.16,33627.2,960.0,75.41,14.86259834814032,2802266.6666666665,64.32666077606476,1
Kabupaten Magetan,2024,678340.0,,9.84,20.61,91.01,98.71,,3.28,35853.1,960.0,76.77,17.43331421247224,2987758.3333333335,66.05714502114103,1
Kabupaten Malang,2020,2654400.0,,10.5,33.91,80.99,95.48,,5.49,38495.2,752.0,70.36,17.97049371597126,3207933.3333333335,60.73507402275597,1
Kabupaten Malang,2021,2670150.0,276.58,10.5,34.64,80.79,94.14,,5.4,40056.7,762.5,70.6,16.372638937759827,3338058.3333333335,60.03360258665838,1
Kabupaten Malang,2022,2685900.0,252.88,9.55,64.52,81.8,96.02,,6.57,43581.3,773.0,71.38,17.89053293140293,3631775.0,61.34916904526289,1
Kabupaten Malang,2023,2685900.0,,9.55,29.7,81.8,96.02,,5.7,47272.2,773.0,72.16,17.32349224798927,3939350.0,61.39945796061043,1
Kabupaten Malang,2024,2685900.0,,9.55,28.29,81.8,96.02,,5.13,50593.4,773.0,73.53,16.285132182742736,4216116.666666667,61.46821485357357,1
Kabupaten Mojokerto,2020,1119200.0,,10.62,14.3,91.02,99.2,,5.75,73335.5,1559.0,73.83,19.262834773690617,6111291.666666667,65.72853912631874,1
Kabupaten Mojokerto,2021,1126390.0,120.54,10.62,14.37,87.34,98.37,,5.54,77339.7,1355.0,74.15,20.639418675180263,6444975.0,65.3878855423909,1
Kabupaten Mojokerto,2022,1133580.0,111.03,9.71,86.76,89.87,97.05,,4.83,84307.4,1151.0,74.89,18.770634748207485,7025616.666666667,65.58036988378807,1
Kabupaten Mojokerto,2023,1133580.0,,9.71,15.17,89.87,97.05,,4.67,91112.0,1151.0,75.53,20.885248072328537,7592666.666666667,66.81234526415163,1
Kabupaten Mojokerto,2024,1133580.0,,9.71,15.01,89.87,97.05,,3.87,98010.9,1151.0,76.69,16.04645450545237,8167575.0,65.0430559255934,1
Kabupaten Nganjuk,2020,1103900.0,,11.85,15.21,85.75,99.45,,4.8,24134.3,902.0,71.72,16.380293789705735,2011191.6666666667,61.9731355952488,1
Kabupaten Nganjuk,2021,1110465.0,125.53,11.85,17.48,81.84,99.03,,4.98,25279.6,884.5,71.97,15.590866061582616,2106633.3333333335,60.53578433611506,1
Kabupaten Nganjuk,2022,1117030.0,113.63,10.7,84.17,83.36,98.67,,4.74,27583.2,867.0,72.93,15.321643378384259,2298600.0,61.25152771310044,1
Kabupaten Nganjuk,2023,1117030.0,,10.7,19.66,83.36,98.67,,4.68,29916.6,867.0,73.71,15.993581677148443,2493050.0,61.873653081760814,1
Kabupaten Nganjuk,2024,1117030.0,,10.7,20.43,83.36,98.67,,3.87,32047.5,867.0,75.24,13.670400215081308,2670625.0,61.41341548388368,1
Kabupaten Ngawi,2020,870100.0,,15.57,16.09,83.67,99.49,,5.44,23322.7,671.0,70.54,14.689872734481897,1943558.3333333333,60.096941262068576,1
Kabupaten Ngawi,2021,873765.0,130.81,15.57,16.43,79.35,99.92,,4.25,23838.3,650.0,71.04,15.39852394606138,1986525.0,59.32801105202833,1
Kabupaten Ngawi,2022,877430.0,119.02,14.15,76.37,84.26,99.16,,2.48,25602.3,629.0,71.75,16.882524037185206,2133525.0,61.769934171008565,1
Kabupaten Ngawi,2023,877430.0,,14.15,13.32,84.26,99.16,,2.41,27619.3,629.0,72.47,14.67670845283331,2301608.3333333335,61.03986543976922,1
Kabupaten Ngawi,2024,877430.0,,14.15,11.75,84.26,99.16,,2.4,29346.5,629.0,73.91,14.480086603867331,2445541.6666666665,61.52511689409261,1
Kabupaten Pacitan,2020,586100.0,,15.11,14.71,69.9,84.43,,2.28,26972.4,422.0,68.39,14.158321424388724,2247700.0,54.86060988817942,1
Kabupaten Pacitan,2021,589510.0,84.19,15.11,14.8,71.7,76.71,,2.04,27932.3,418.0,68.57,15.93490777096649,2327691.6666666665,56.29257281736915,1
Kabupaten Pacitan,2022,592920.0,76.93,13.8,78.45,72.64,83.95,,3.65,30627.3,414.0,69.37,15.449658117851564,2552275.0,56.67061143900842,1
Kabupaten Pacitan,2023,592920.0,,13.8,12.14,72.64,83.95,,1.83,33148.6,414.0,70.19,14.617216330181614,2762383.3333333335,56.6144075370069,1
Kabupaten Pacitan,2024,592920.0,,13.8,10.75,72.64,83.95,,1.56,35096.3,414.0,71.49,16.011587565306883,2924691.6666666665,57.7779634916801,1
Kabupaten Pamekasan,2020,850100.0,,15.3,20.54,68.25,90.49,,3.49,19778.6,1073.0,66.26,15.221239110643426,1648216.6666666667,54.00418728183543,1
Kabupaten Pamekasan,2021,853960.0,137.12,15.3,22.04,70.85,89.15,,3.1,20596.4,1076.0,66.4,16.371759833066257,1716366.6666666667,55.37119684603058,1
Kabupaten Pamekasan,2022,857820.0,126.02,13.93,73.26,65.95,95.24,,1.4,22225.7,1079.0,66.99,14.560595635529701,1852141.6666666667,53.30127490870602,1
Kabupaten Pamekasan,2023,857820.0,,13.93,17.48,65.95,95.24,,1.74,23842.1,1079.0,67.96,15.18537389376282,1986841.6666666667,53.9776341048136,1
Kabupaten Pamekasan,2024,857820.0,,13.93,19.29,65.95,95.24,,1.64,25423.6,1079.0,70.85,15.268601063269212,2118633.3333333335,55.17204664458579,1
Kabupaten Pasuruan,2020,1606000.0,,9.7,20.57,80.03,97.21,,6.24,90746.9,1090.0,68.6,17.176075611919345,7562241.666666667,59.37641951319354,1
Kabupaten Pasuruan,2021,1612520.0,159.78,9.7,21.2,82.92,97.36,,6.03,97170.8,1087.0,68.93,19.455320431506227,8097566.666666667,61.42737866069519,1
Kabupaten Pasuruan,2022,1619040.0,148.62,8.96,65.01,83.4,96.9,,5.91,105849.8,1084.0,69.68,19.62380311275288,8820816.666666666,61.94913989819364,0
Kabupaten Pasuruan,2023,1619040.0,,8.96,16.98,83.4,96.9,,5.48,113682.7,1084.0,70.29,19.495148249791956,9473558.333333334,62.13376073067321,0
Kabupaten Pasuruan,2024,1619040.0,,8.96,16.24,83.4,96.9,,5.02,121689.1,1084.0,72.36,19.377653034503343,10140758.333333334,62.907532169770775,0
Kabupaten Ponorogo,2020,949300.0,,10.26,24.69,84.97,91.15,,4.45,21653.6,727.0,70.81,13.165584385986111,1804466.6666666667,59.89142356276282,1
Kabupaten Ponorogo,2021,956775.0,89.94,10.26,25.01,87.49,96.3,,4.38,22432.1,703.5,71.06,14.408127683901004,1869341.6666666667,61.32090508487739,1
Kabupaten Ponorogo,2022,964250.0,81.8,9.32,78.18,86.77,91.5,,5.51,24094.3,680.0,71.87,14.639580380426944,2007858.3333333333,61.535729406350896,0
Kabupaten Ponorogo,2023,964250.0,,9.32,19.04,86.77,91.5,,4.66,26313.9,680.0,72.5,14.308410123888597,2192825.0,61.63488159564089,0
Kabupaten Ponorogo,2024,964250.0,,9.32,20.8,86.77,91.5,,4.19,28088.0,680.0,73.7,15.24071279842564,2340666.6666666665,62.545175137734915,0
Kabupaten Probolinggo,2020,1152500.0,,18.91,15.12,59.76,92.16,,4.86,29280.1,679.0,66.07,16.021264839672785,2440008.3333333335,51.750429926002816,1
Kabupaten Probolinggo,2021,1156235.0,223.32,18.91,15.31,62.14,93.18,,4.55,30708.3,676.0,66.26,17.91357541105733,2559025.0,53.413804035872616,1
Kabupaten Probolinggo,2022,1159970.0,203.23,17.12,63.56,62.36,95.92,,3.25,33323.4,673.0,66.96,16.058625600700122,2776950.0,52.903673354169285,1
Kabupaten Probolinggo,2023,1159970.0,,17.12,17.76,62.36,95.92,,3.24,36006.2,673.0,67.79,16.351770926520803,3000516.6666666665,53.37097119685575,1
Kabupaten Probolinggo,2024,1159970.0,,17.12,18.43,62.36,95.92,,3.0,38536.6,673.0,70.85,16.123168591768284,3211383.3333333335,54.48946242696998,1
Kabupaten Sampang,2020,969700.0,,23.76,18.28,81.85,89.89,,3.35,20503.0,786.0,62.7,12.51863893226382,1708583.3333333333,55.41283335335253,1
Kabupaten Sampang,2021,976930.0,237.23,23.76,17.71,76.22,89.34,,3.45,21064.1,793.5,62.8,14.868241218923846,1755341.6666666667,54.848265177964855,1
Kabupaten Sampang,2022,984160.0,217.97,21.61,55.75,79.33,93.25,,3.11,23186.1,801.0,63.39,15.223579988832547,1932175.0,56.181267687153486,1
Kabupaten Sampang,2023,984160.0,,21.61,15.64,79.33,93.25,,2.72,23978.2,801.0,64.13,18.191174579494486,1998183.3333333333,57.84692672899746,1
Kabupaten Sampang,2024,984160.0,,21.61,13.73,79.33,93.25,,2.5,24483.8,801.0,66.72,15.056617362088918,2040316.6666666667,57.43620801327181,1
Kabupaten Sidoarjo,2020,2082800.0,,5.93,40.99,95.52,99.06,,10.97,94817.6,3283.0,80.29,20.7269481243522,7901466.666666667,70.33828374970102,0
Kabupaten Sidoarjo,2021,2093100.0,137.15,5.93,41.61,95.05,96.82,,10.87,100251.9,3094.0,80.65,20.391613157732497,8354325.0,70.1865137651073,0
Kabupaten Sidoarjo,2022,2103400.0,125.69,5.36,83.2,89.54,95.86,,8.8,115389.3,2905.0,81.02,19.306780027466637,9615775.0,68.18082155113845,0
Kabupaten Sidoarjo,2023,2103400.0,,5.36,37.67,89.54,95.86,,8.05,127381.7,2905.0,81.55,22.32777220488743,10615141.666666666,69.78712563302497,0
Kabupaten Sidoarjo,2024,2103400.0,,5.36,38.09,89.54,95.86,,6.49,136721.1,2905.0,82.67,22.035591950861924,11393425.0,70.10027320809013,0
Kabupaten Situbondo,2020,686000.0,,12.63,15.14,55.29,96.18,,3.85,29244.2,411.0,67.38,15.880141549845966,2437016.6666666665,50.86829609992891,1
Kabupaten Situbondo,2021,688630.0,86.95,12.63,16.19,59.79,98.88,,3.68,30765.4,414.5,67.78,13.976587525931265,2563783.3333333335,51.49973270427597,1
Kabupaten Situbondo,2022,691260.0,81.46,11.78,61.12,54.52,99.22,,3.38,33367.5,418.0,68.25,16.964275020523797,2780625.0,51.48566539408791,1
Kabupaten Situbondo,2023,691260.0,,11.78,12.49,54.52,99.22,,3.27,36189.6,418.0,69.16,13.801674102978208,3015800.0,50.39000343214379,1
Kabupaten Situbondo,2024,691260.0,,11.78,11.28,54.52,99.22,,3.15,38676.9,418.0,71.22,16.35430073553454,3223075.0,52.392138801015946,1
Kabupaten Sumenep,2020,1124400.0,,20.51,20.43,64.74,97.82,,2.84,29166.2,563.0,66.43,17.93039676361359,2430516.6666666665,54.26956773705243,1
Kabupaten Sumenep,2021,1130515.0,224.73,20.51,20.87,65.66,98.29,,2.31,31177.3,554.0,67.04,14.260567896169416,2598108.3333333335,53.0958005674628,1
Kabupaten Sumenep,2022,1136630.0,206.2,18.76,78.65,67.68,94.6,,1.36,35324.2,545.0,67.87,15.062194579186599,2943683.3333333335,54.40378211347074,1
Kabupaten Sumenep,2023,1136630.0,,18.76,17.49,67.68,94.6,,1.71,37473.5,545.0,68.61,16.0089978304142,3122791.6666666665,55.13676822942194,1
Kabupaten Sumenep,2024,1136630.0,,18.76,18.5,67.68,94.6,,1.69,39215.0,545.0,69.78,15.398808682773373,3267916.6666666665,55.323142468972335,1
Kabupaten Trenggalek,2020,731100.0,,12.14,13.86,76.81,80.64,,4.11,25087.3,637.0,69.74,13.21262002184513,2090608.3333333333,57.03713231777468,1
Kabupaten Trenggalek,2021,735385.0,84.89,12.14,15.1,75.48,75.78,,3.53,26160.0,614.5,70.06,15.21721329850238,2180000.0,57.69132921469341,1
Kabupaten Trenggalek,2022,739670.0,76.75,10.96,84.99,79.27,81.23,,5.37,28309.5,592.0,71.0,14.012825296255235,2359125.0,58.64845782904087,1
Kabupaten Trenggalek,2023,739670.0,,10.96,13.68,79.27,81.23,,4.52,30681.0,592.0,71.73,16.057016002308334,2556750.0,59.88393046260384,1
Kabupaten Trenggalek,2024,739670.0,,10.96,13.52,79.27,81.23,,3.9,32725.6,592.0,72.47,14.54668119382173,2727133.3333333335,59.482852858686954,1
Kabupaten Tuban,2020,1198000.0,,16.31,14.92,79.03,97.58,,4.81,52084.9,653.0,68.4,18.789389737348124,4340408.333333333,59.741026032622216,1
Kabupaten Tuban,2021,1203770.0,192.58,16.31,17.46,83.8,96.4,,4.68,54739.5,633.0,68.91,16.076512676930868,4561625.0,60.12392892781424,1
Kabupaten Tuban,2022,1209540.0,178.05,15.02,64.64,80.99,97.51,,4.54,62058.7,613.0,69.67,16.905154079458594,5171558.333333333,59.96737880590396,1
Kabupaten Tuban,2023,1209540.0,,15.02,14.34,80.99,97.51,,4.4,67175.8,613.0,70.34,18.46592944048002,5597983.333333333,60.955736664836934,1
Kabupaten Tuban,2024,1209540.0,,15.02,11.97,80.99,97.51,,4.28,71099.1,613.0,72.31,16.15457563711113,5924925.0,60.676957986358985,1
Kabupaten Tulungagung,2020,1089800.0,,7.51,25.06,89.45,96.75,,4.61,35142.7,1032.0,73.0,16.76798714253595,2928558.3333333335,63.774070988862746,0
Kabupaten Tulungagung,2021,1097570.0,78.59,7.51,26.51,85.37,97.4,,4.91,36688.3,999.0,73.15,18.132209994829363,3057358.3333333335,63.23971230530587,0
Kabupaten Tulungagung,2022,1105340.0,70.52,6.71,78.21,83.6,96.39,,6.65,40068.7,966.0,74.06,14.814693619280398,3339058.3333333335,61.541550901206335,0
Kabupaten Tulungagung,2023,1105340.0,,6.71,23.66,83.6,96.39,,5.65,43296.9,966.0,74.61,17.15894802602917,3608075.0,62.84351447355192,0
Kabupaten Tulungagung,2024,1105340.0,,6.71,22.07,83.6,96.39,,4.12,46008.7,966.0,75.13,17.401120424210895,3834058.3333333335,63.1632863496358,0
Kota Batu,2020,213000.0,,4.09,38.62,93.2,99.02,,5.93,74883.6,1558.0,75.9,19.818802785146836,6240300.0,67.46713974699085,0
Kota Batu,2021,214870.0,8.63,4.09,39.27,95.57,100.0,,6.57,78330.9,1337.0,76.28,17.3252230398334,6527575.0,67.1792567876154,0
Kota Batu,2022,216740.0,8.05,3.79,80.27,94.37,99.12,,8.43,85413.5,1116.0,77.22,17.22460805310009,7117791.666666667,67.1488191014308,0
Kota Batu,2023,216740.0,,3.79,38.0,94.37,99.12,,4.52,93214.3,1116.0,78.18,19.6539783062207,7767858.333333333,68.6540669105634,0
Kota Batu,2024,216740.0,,3.79,36.33,94.37,99.12,,3.63,99487.2,1116.0,79.69,19.546849658547718,8290600.0,69.20862291932971,0
Kota Blitar,2020,1632193.3333333333,,7.656666666666667,34.01,82.99999999999999,96.26666666666667,,6.68,45090.1,901.6666666666666,78.57,17.256730276548318,3757508.3333333335,64.2926447430223,0
Kota Blitar,2021,1833113.3333333333,,8.110000000000001,35.0,80.94666666666667,94.67666666666666,,6.61,47329.3,678.0,78.98,17.150926679467332,3944108.3333333335,63.79181231360031,0
Kota Blitar,2022,1867938.3333333333,,11.31,90.52,80.66,95.92,,5.39,51593.4,604.8333333333334,79.93,15.997786450468116,4299450.0,63.5535937463699,1
Kota Blitar,2023,1412366.6666666667,,12.363333333333332,30.56,83.63,96.43666666666667,,5.24,55523.3,569.0,80.63,17.20275603618146,4626941.666666667,65.28073355516068,1
Kota Blitar,2024,1557666.6666666667,,10.013333333333334,30.33,79.04333333333334,96.48333333333335,,5.11,59326.4,525.6666666666666,81.44,17.34631192552627,4943866.666666667,64.29499011947367,1
Kota Kediri,2020,2887220.0,,4.72,34.26,96.41000000000001,95.66000000000001,,6.21,462198.7,8595.0,78.23,24.622876810206794,38516558.333333336,71.5794046816339,0
Kota Kediri,2021,2887220.0,,4.72,35.13,96.41000000000001,95.66000000000001,,6.37,489294.0,8595.0,78.6,27.861449551719883,40774500.0,73.22213056233225,0
Kota Kediri,2022,2887220.0,,4.72,87.08,96.41000000000001,95.66000000000001,,4.38,522857.1,8595.0,79.59,26.35698129236204,43571425.0,72.92376059647478,0
Kota Kediri,2023,2887220.0,,4.72,33.48,96.41000000000001,95.66000000000001,,4.06,541067.7,8595.0,80.44,24.444408126316155,45088975.0,72.38103451983824,0
Kota Kediri,2024,2887220.0,,4.72,30.44,96.41000000000001,95.66000000000001,,3.91,565840.5,8595.0,81.88,26.773756220119683,47153375.0,74.03211825543985,0
Kota Madiun,2020,1179426.6666666667,,13.553333333333333,35.39,84.33333333333333,98.07333333333334,,8.32,69463.1,928.3333333333334,80.91,16.90182842042178,5788591.666666667,65.4648438863485,1
Kota Madiun,2021,882443.3333333334,,8.973333333333333,36.79,91.74333333333334,98.24333333333334,,8.15,73502.0,1228.6666666666667,81.25,19.493593083252616,6125166.666666667,69.0200429615012,0
Kota Madiun,2022,885463.3333333334,,8.973333333333334,72.92,91.30666666666667,98.29333333333334,,6.39,79816.6,1087.0,82.01,19.998443913991473,6651383.333333333,69.42605103722683,0
Kota Madiun,2023,985440.0,,7.733333333333333,33.44,88.08999999999999,97.79333333333334,,5.85,86285.0,1119.0,82.71,17.852937692156452,7190416.666666667,67.7508173963799,0
