regency_city,year,Tidak ada
Kabupaten Madiun,2021,71.88
Kabupaten Magetan,2021,74.15
Kabupaten Ngawi,2021,71.04
Kabupaten Bojonegoro,2021,69.59
Kabupaten Tuban,2021,68.91
Kabupaten Lamongan,2021,73.12
Kabupaten Gresik,2021,76.5
Kabupaten Bangkalan,2021,64.36
Kabupaten Sampang,2021,62.8
Kabupaten Pamekasan,2021,66.4
Kabupaten Sumenep,2021,67.04
Kota Kediri,2021,78.6
Kota Blitar,2021,78.98
Kota Malang,2021,82.04
Kota Probolinggo,2021,73.66
Kota Pasuruan,2021,75.62
Kota Mojokerto,2021,78.43
Kota Madiun,2021,81.25
Kota Surabaya,2021,82.31
Kota Batu,2021,76.28
Kabupaten Pacitan,2022,69.37
Kabupaten Ponorogo,2022,71.87
Kabupaten Trenggalek,2022,71.0
Kabupaten Tulungagung,2022,74.06
Kabupaten Blitar,2022,71.86
Kabupaten Kediri,2022,73.46
Kabupaten Malang,2022,71.38
Kabupaten Lumajang,2022,66.95
Kabupaten Jember,2022,67.97
Kabupaten Banyuwangi,2022,71.94
Kabupaten Bondowoso,2022,67.31
Kabupaten Situbondo,2022,68.25
Kabupaten Probolinggo,2022,66.96
Kabupaten Pasuruan,2022,69.68
Kabupaten Sidoarjo,2022,81.02
Kabupaten Mojokerto,2022,74.89
Kabupaten Jombang,2022,74.05
Kabupaten Nganjuk,2022,72.93
Kabupaten Madiun,2022,72.39
Kabupaten Magetan,2022,74.85
Kabupaten Ngawi,2022,71.75
Kabupaten Bojonegoro,2022,70.12
Kabupaten Tuban,2022,69.67
Kabupaten Lamongan,2022,74.02
Kabupaten Gresik,2022,77.16
Kabupaten Bangkalan,2022,65.05
Kabupaten Sampang,2022,63.39
Kabupaten Pamekasan,2022,66.99
Kabupaten Sumenep,2022,67.87
Kota Kediri,2022,79.59
Kota Blitar,2022,79.93
Kota Malang,2022,82.71
Kota Probolinggo,2022,74.56
Kota Pasuruan,2022,76.54
Kota Mojokerto,2022,79.32
Kota Madiun,2022,82.01
Kota Surabaya,2022,82.74
Kota Batu,2022,77.22
Kabupaten Pacitan,2023,70.19
Kabupaten Ponorogo,2023,72.5
Kabupaten Trenggalek,2023,71.73
Kabupaten Tulungagung,2023,74.61
Kabupaten Blitar,2023,72.49
Kabupaten Kediri,2023,73.96
Kabupaten Malang,2023,72.16
Kabupaten Lumajang,2023,67.87
Kabupaten Jember,2023,68.64
Kabupaten Banyuwangi,2023,72.61
Kabupaten Bondowoso,2023,67.99
Kabupaten Situbondo,2023,69.16
Kabupaten Probolinggo,2023,67.79
Kabupaten Pasuruan,2023,70.29
Kabupaten Sidoarjo,2023,81.55
Kabupaten Mojokerto,2023,75.53
Kabupaten Jombang,2023,74.6
Kabupaten Nganjuk,2023,73.71
Kabupaten Madiun,2023,72.97
Kabupaten Magetan,2023,75.41
Kabupaten Ngawi,2023,72.47
Kabupaten Bojonegoro,2023,70.85
Kabupaten Tuban,2023,70.34
Kabupaten Lamongan,2023,74.53
Kabupaten Gresik,2023,77.98
Kabupaten Bangkalan,2023,65.75
Kabupaten Sampang,2023,64.13
Kabupaten Pamekasan,2023,67.96
Kabupaten Sumenep,2023,68.61
Kota Kediri,2023,80.44
Kota Blitar,2023,80.63
Kota Malang,2023,83.39
Kota Probolinggo,2023,75.43
Kota Pasuruan,2023,77.17
Kota Mojokerto,2023,80.07
Kota Madiun,2023,82.71
Kota Surabaya,2023,83.45
Kota Batu,2023,78.18
Kabupaten Pacitan,2024,71.49
Kabupaten Ponorogo,2024,73.7
Kabupaten Trenggalek,2024,72.47
Kabupaten Tulungagung,2024,75.13
Kabupaten Blitar,2024,73.44
Kabupaten Kediri,2024,75.18
Kabupaten Malang,2024,73.53
Kabupaten Lumajang,2024,70.31
Kabupaten Jember,2024,70.93
Kabupaten Banyuwangi,2024,74.3
Kabupaten Bondowoso,2024,71.22
Kabupaten Situbondo,2024,71.22
Kabupaten Probolinggo,2024,70.85
Kabupaten Pasuruan,2024,72.36
Kabupaten Sidoarjo,2024,82.67
Kabupaten Mojokerto,2024,76.69
Kabupaten Jombang,2024,75.67
Kabupaten Nganjuk,2024,75.24
Kabupaten Madiun,2024,74.81
Kabupaten Magetan,2024,76.77
Kabupaten Ngawi,2024,73.91
Kabupaten Bojonegoro,2024,72.75
Kabupaten Tuban,2024,72.31
Kabupaten Lamongan,2024,75.9
Kabupaten Gresik,2024,78.93
Kabupaten Bangkalan,2024,67.33
Kabupaten Sampang,2024,66.72
Kabupaten Pamekasan,2024,70.85
Kabupaten Sumenep,2024,69.78
Kota Kediri,2024,81.88
Kota Blitar,2024,81.44
Kota Malang,2024,84.68
Kota Probolinggo,2024,77.79
Kota Pasuruan,2024,78.9
Kota Mojokerto,2024,81.76
Kota Madiun,2024,84.51
Kota Surabaya,2024,84.69
Kota Batu,2024,79.69
