regency_city,year,Tidak ada
Kabupaten Banyuwangi,2022,12320.0
Kabupaten Bondowoso,2022,10851.0
Kabupaten Situbondo,2022,10263.0
Kabupaten Probolinggo,2022,11254.0
Kabupaten Pasuruan,2022,10726.0
Kabupaten Sidoarjo,2022,14808.0
Kabupaten Mojokerto,2022,13051.0
Kabupaten Jombang,2022,11579.0
Kabupaten Nganjuk,2022,12349.0
Kabupaten Madiun,2022,11848.0
Kabupaten Magetan,2022,12031.0
Kabupaten Ngawi,2022,11563.0
Kabupaten Bojonegoro,2022,10323.0
Kabupaten Tuban,2022,10703.0
Kabupaten Lamongan,2022,11648.0
Kabupaten Gresik,2022,13384.0
Kabupaten Bangkalan,2022,8971.0
Kabupaten Sampang,2022,8944.0
Kabupaten Pamekasan,2022,8967.0
Kabupaten Sumenep,2022,9388.0
Kota Kediri,2022,12762.0
Kota Blitar,2022,14058.0
Kota Malang,2022,16897.0
Kota Probolinggo,2022,12571.0
Kota Pasuruan,2022,13803.0
Kota Mojokerto,2022,14054.0
Kota Madiun,2022,16503.0
Kota Surabaya,2022,18345.0
Kota Batu,2022,13094.0
Kabupaten Pacitan,2023,9681.0
Kabupaten Ponorogo,2023,10658.0
Kabupaten Trenggalek,2023,10465.0
Kabupaten Tulungagung,2023,11565.0
Kabupaten Blitar,2023,11499.0
Kabupaten Kediri,2023,11952.0
Kabupaten Malang,2023,10791.0
Kabupaten Lumajang,2023,9720.0
Kabupaten Jember,2023,10277.0
Kabupaten Banyuwangi,2023,12820.0
Kabupaten Bondowoso,2023,11255.0
Kabupaten Situbondo,2023,10702.0
Kabupaten Probolinggo,2023,11756.0
Kabupaten Pasuruan,2023,11239.0
Kabupaten Sidoarjo,2023,15311.0
Kabupaten Mojokerto,2023,13467.0
Kabupaten Jombang,2023,11999.0
Kabupaten Nganjuk,2023,12821.0
Kabupaten Madiun,2023,12259.0
Kabupaten Magetan,2023,12495.0
Kabupaten Ngawi,2023,11897.0
Kabupaten Bojonegoro,2023,10776.0
Kabupaten Tuban,2023,11174.0
Kabupaten Lamongan,2023,12019.0
Kabupaten Gresik,2023,13870.0
Kabupaten Bangkalan,2023,9438.0
Kabupaten Sampang,2023,9363.0
Kabupaten Pamekasan,2023,9420.0
Kabupaten Sumenep,2023,9807.0
Kota Kediri,2023,13276.0
Kota Blitar,2023,14548.0
Kota Malang,2023,17222.0
Kota Probolinggo,2023,12999.0
Kota Pasuruan,2023,14250.0
Kota Mojokerto,2023,14422.0
Kota Madiun,2023,17115.0
Kota Surabaya,2023,18977.0
Kota Batu,2023,13603.0
