regency_city,year,7-12,13-15,16-18,19-23
Kota Madiun,2020,98.91,98.1,97.11,35.39
Kota Surabaya,2020,99.9,99.33,67.33,48.93
Kota Batu,2020,99.5,98.37,75.24,38.62
Kabupaten Pacitan,2021,99.51,97.21,76.94,14.8
Kabupaten Ponorogo,2021,99.64,98.84,80.74,25.01
Kabupaten Trenggalek,2021,99.09,96.97,77.96,15.1
Kabupaten Tulungagung,2021,99.41,98.51,79.99,26.51
Kabupaten Blitar,2021,99.4,99.53,70.46,20.69
Kabupaten Kediri,2021,99.0,99.45,81.84,21.8
Kabupaten Malang,2021,99.87,97.49,65.48,34.64
Kabupaten Lumajang,2021,98.96,98.15,55.42,12.98
Kabupaten Jember,2021,99.55,97.37,69.83,27.22
Kabupaten Banyuwangi,2021,99.65,98.46,79.37,18.19
Kabupaten Bondowoso,2021,99.41,97.49,71.24,16.76
Kabupaten Situbondo,2021,98.85,97.38,65.56,16.19
Kabupaten Probolinggo,2021,99.37,94.0,60.37,15.31
Kabupaten Pasuruan,2021,99.44,97.19,64.68,21.2
Kabupaten Sidoarjo,2021,99.59,99.13,87.45,41.61
Kabupaten Mojokerto,2021,99.57,98.61,82.34,14.37
Kabupaten Jombang,2021,99.49,98.99,90.39,23.61
Kabupaten Nganjuk,2021,99.62,99.36,83.19,17.48
Kabupaten Madiun,2021,98.79,97.25,78.7,19.19
Kabupaten Magetan,2021,99.35,99.22,88.36,28.77
Kabupaten Ngawi,2021,99.18,99.4,78.45,16.43
Kabupaten Bojonegoro,2021,99.71,98.46,80.22,16.1
Kabupaten Tuban,2021,99.9,94.44,65.55,17.46
Kabupaten Lamongan,2021,99.2,99.31,71.77,29.37
Kabupaten Gresik,2021,99.45,99.16,85.67,26.64
Kabupaten Bangkalan,2021,99.3,92.6,51.28,18.7
Kabupaten Sampang,2021,98.6,93.42,57.29,17.71
Kabupaten Pamekasan,2021,98.52,98.73,75.91,22.04
Kabupaten Sumenep,2021,98.88,96.38,75.96,20.87
Kota Kediri,2021,99.48,98.63,87.04,35.13
Kota Blitar,2021,99.45,97.35,91.17,35.0
Kota Malang,2021,99.17,96.61,84.3,61.41
Kota Probolinggo,2021,99.46,96.91,82.67,25.66
Kota Pasuruan,2021,99.27,95.3,75.59,23.28
Kota Mojokerto,2021,99.3,98.75,80.02,31.93
Kota Madiun,2021,98.08,98.29,96.82,36.79
Kota Surabaya,2021,99.78,98.97,69.97,48.41
Kota Batu,2021,99.25,97.32,76.98,39.27
Kabupaten Pacitan,2022,99.48,99.0,78.45,
Kabupaten Ponorogo,2022,99.7,98.59,78.18,
Kabupaten Trenggalek,2022,92.34,96.12,84.99,
Kabupaten Tulungagung,2022,99.79,98.37,78.21,
Kabupaten Blitar,2022,97.4,95.88,68.57,
Kabupaten Kediri,2022,98.57,98.18,85.24,
Kabupaten Malang,2022,99.59,95.47,64.52,
Kabupaten Lumajang,2022,99.95,97.33,53.0,
Kabupaten Jember,2022,99.01,94.84,74.08,
Kabupaten Banyuwangi,2022,98.61,99.16,76.81,
Kabupaten Bondowoso,2022,99.68,96.53,68.6,
Kabupaten Situbondo,2022,97.67,93.92,61.12,
Kabupaten Probolinggo,2022,99.91,98.07,63.56,
Kabupaten Pasuruan,2022,98.71,97.13,65.01,
Kabupaten Sidoarjo,2022,99.92,99.4,83.2,
Kabupaten Mojokerto,2022,98.57,99.78,86.76,
Kabupaten Jombang,2022,98.91,98.76,88.17,
Kabupaten Nganjuk,2022,99.96,97.76,84.17,
Kabupaten Madiun,2022,99.25,98.43,73.09,
Kabupaten Magetan,2022,99.85,99.7,85.87,
Kabupaten Ngawi,2022,99.57,98.73,76.37,
Kabupaten Bojonegoro,2022,99.99,97.56,83.76,
Kabupaten Tuban,2022,99.46,96.58,64.64,
Kabupaten Lamongan,2022,99.99,98.95,73.67,
Kabupaten Gresik,2022,99.7,98.51,83.16,
Kabupaten Bangkalan,2022,99.99,99.19,49.15,
Kabupaten Sampang,2022,99.07,92.68,55.75,
Kabupaten Pamekasan,2022,99.41,98.0,73.26,
Kabupaten Sumenep,2022,99.74,97.79,78.65,
Kota Kediri,2022,99.87,98.75,87.08,
Kota Blitar,2022,99.49,96.96,90.52,
Kota Malang,2022,99.92,99.68,80.75,
Kota Probolinggo,2022,99.88,99.29,81.93,
Kota Pasuruan,2022,99.92,98.77,78.69,
Kota Mojokerto,2022,99.67,98.9,81.96,
Kota Madiun,2022,99.78,98.42,72.92,
Kota Surabaya,2022,97.88,97.77,63.0,
Kota Batu,2022,99.94,99.26,80.27,
Kabupaten Pacitan,2023,99.98,97.27,79.06,12.14
Kabupaten Ponorogo,2023,99.28,98.2,79.36,19.04
Kabupaten Trenggalek,2023,99.43,96.91,83.34,13.68
Kabupaten Tulungagung,2023,99.59,98.66,78.12,23.66
Kabupaten Blitar,2023,98.12,96.5,69.63,16.04
Kabupaten Kediri,2023,98.42,99.23,84.4,18.4
Kabupaten Malang,2023,99.71,95.27,65.84,29.7
Kabupaten Lumajang,2023,99.65,98.63,59.1,16.44
Kabupaten Jember,2023,99.61,95.11,73.93,24.31
Kabupaten Banyuwangi,2023,98.45,99.2,74.45,16.16
Kabupaten Bondowoso,2023,99.51,98.67,68.71,15.12
Kabupaten Situbondo,2023,99.16,95.05,63.52,12.49
Kabupaten Probolinggo,2023,99.67,96.91,63.59,17.76
Kabupaten Pasuruan,2023,98.71,97.13,62.77,16.98
Kabupaten Sidoarjo,2023,99.83,99.25,82.88,37.67
Kabupaten Mojokerto,2023,99.82,99.33,81.91,15.17
Kabupaten Jombang,2023,99.71,98.67,85.43,20.56
Kabupaten Nganjuk,2023,99.75,97.9,85.2,19.66
Kabupaten Madiun,2023,98.86,98.5,85.03,20.94
Kabupaten Magetan,2023,99.71,99.22,85.78,23.17
Kabupaten Ngawi,2023,99.7,99.11,78.42,13.32
Kabupaten Bojonegoro,2023,99.56,99.37,82.68,17.9
Kabupaten Tuban,2023,99.51,98.25,64.13,14.34
Kabupaten Lamongan,2023,99.67,99.53,74.25,25.75
Kabupaten Gresik,2023,99.47,98.32,82.29,28.14
Kabupaten Bangkalan,2023,99.75,95.68,53.34,15.91
Kabupaten Sampang,2023,99.01,92.49,64.14,15.64
Kabupaten Pamekasan,2023,98.82,97.08,75.13,17.48
Kabupaten Sumenep,2023,99.4,97.43,79.81,17.49
Kota Kediri,2023,99.54,98.3,87.18,33.48
Kota Blitar,2023,99.01,97.2,91.7,30.56
Kota Malang,2023,99.5,98.54,80.9,50.38
Kota Probolinggo,2023,99.68,99.12,82.9,22.55
Kota Pasuruan,2023,99.7,99.01,78.91,22.78
Kota Mojokerto,2023,99.5,98.73,82.23,24.82
Kota Madiun,2023,99.42,98.44,74.77,33.44
Kota Surabaya,2023,97.88,98.54,65.29,40.33
Kota Batu,2023,99.23,98.5,79.99,38.0
Kabupaten Pacitan,2024,99.55,96.64,84.81,10.75
Kabupaten Ponorogo,2024,98.47,99.33,83.84,20.8
Kabupaten Trenggalek,2024,99.38,98.85,81.14,13.52
Kabupaten Tulungagung,2024,99.6,99.91,82.04,22.07
Kabupaten Blitar,2024,99.53,97.53,73.67,14.92
Kabupaten Kediri,2024,99.99,97.63,81.87,18.16
Kabupaten Malang,2024,99.61,96.92,71.45,28.29
Kabupaten Lumajang,2024,97.87,98.86,64.7,16.35
Kabupaten Jember,2024,98.83,95.49,74.35,26.11
Kabupaten Banyuwangi,2024,99.61,99.32,79.98,16.52
Kabupaten Bondowoso,2024,97.86,94.97,69.97,14.53
Kabupaten Situbondo,2024,99.28,98.93,69.59,11.28
Kabupaten Probolinggo,2024,99.56,90.74,57.03,18.43
Kabupaten Pasuruan,2024,98.99,93.82,68.54,16.24
Kabupaten Sidoarjo,2024,99.82,99.93,88.33,38.09
Kabupaten Mojokerto,2024,99.52,99.97,85.84,15.01
Kabupaten Jombang,2024,99.74,98.37,84.42,21.3
Kabupaten Nganjuk,2024,99.24,95.31,91.1,20.43
Kabupaten Madiun,2024,98.05,99.95,89.36,20.14
Kabupaten Magetan,2024,98.62,99.97,82.92,20.61
Kabupaten Ngawi,2024,99.85,98.71,82.25,11.75
Kabupaten Bojonegoro,2024,99.77,98.19,85.5,21.13
Kabupaten Tuban,2024,99.65,96.98,70.05,11.97
Kabupaten Lamongan,2024,99.99,99.99,79.09,24.04
Kabupaten Gresik,2024,99.33,99.19,81.95,27.68
Kabupaten Bangkalan,2024,99.94,97.24,53.3,14.21
Kabupaten Sampang,2024,99.97,94.39,62.62,13.73
Kabupaten Pamekasan,2024,99.31,97.8,65.92,19.29
Kabupaten Sumenep,2024,98.4,95.23,68.48,18.5
Kota Kediri,2024,98.95,99.92,92.87,30.44
Kota Blitar,2024,99.96,99.94,94.58,30.33
Kota Malang,2024,99.05,99.99,86.66,50.33
Kota Probolinggo,2024,99.28,96.27,88.82,25.61
Kota Pasuruan,2024,99.94,94.19,83.91,19.99
Kota Mojokerto,2024,98.97,99.6,87.84,29.55
Kota Madiun,2024,99.65,99.9,79.96,31.18
Kota Surabaya,2024,98.81,99.95,70.99,42.46
Kota Batu,2024,99.92,99.96,84.67,36.33
